objetivo,variante,umbral,operaciones_minimas,retorno_minimo,retorno_mediano_minimo,factor_minimo,drawdown_peor,positivas_minimas,precision_operaciones_minima,pr_auc_minimo,pr_auc_lift_minimo,concentracion_mensual_maxima,aprobado
corto_tp070_sl035_240m,histgb_101_moderado,0.88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2686801098646919,1.1834678990494,1.0,False
corto_tp070_sl035_240m,histgb_101_moderado,0.89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2686801098646919,1.1834678990494,1.0,False
corto_tp070_sl035_240m,histgb_101_moderado,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2686801098646919,1.1834678990494,1.0,False
corto_tp070_sl035_240m,histgb_101_moderado,0.91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2686801098646919,1.1834678990494,1.0,False
corto_tp070_sl035_240m,histgb_101_moderado,0.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2686801098646919,1.1834678990494,0.0,False
corto_tp070_sl035_240m,histgb_101_moderado,0.93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2686801098646919,1.1834678990494,0.0,False
corto_tp070_sl035_240m,histgb_101_moderado,0.94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2686801098646919,1.1834678990494,0.0,False
corto_tp070_sl035_240m,histgb_101_moderado,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2686801098646919,1.1834678990494,0.0,False
corto_tp070_sl035_240m,histgb_63_moderado,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546630584100841,1.177292561863839,0.0,False
corto_tp070_sl035_240m,histgb_63_moderado,0.87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546630584100841,1.177292561863839,0.0,False
corto_tp070_sl035_240m,histgb_63_moderado,0.88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546630584100841,1.177292561863839,0.0,False
corto_tp070_sl035_240m,histgb_63_moderado,0.89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546630584100841,1.177292561863839,0.0,False
corto_tp070_sl035_240m,histgb_63_moderado,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546630584100841,1.177292561863839,0.0,False
corto_tp070_sl035_240m,histgb_63_moderado,0.91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546630584100841,1.177292561863839,0.0,False
corto_tp070_sl035_240m,histgb_63_moderado,0.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546630584100841,1.177292561863839,0.0,False
corto_tp070_sl035_240m,histgb_63_moderado,0.93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546630584100841,1.177292561863839,0.0,False
corto_tp070_sl035_240m,histgb_63_moderado,0.94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546630584100841,1.177292561863839,0.0,False
corto_tp070_sl035_240m,histgb_63_moderado,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546630584100841,1.177292561863839,0.0,False
corto_tp070_sl035_240m,sgd_101_moderado,0.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2406606673297599,1.1490856070573323,1.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2349982432323634,1.1220491573392843,0.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2349982432323634,1.1220491573392843,0.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2349982432323634,1.1220491573392843,0.0,False
corto_tp070_sl035_240m,sgd_63_sin_pesos,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2349982432323634,1.1220491573392843,0.0,False
corto_tp070_sl035_240m,sgd_101_moderado,0.91,0,0.0,0.0,0.0,-0.0045000001080334,0.0,0.0,0.2406606673297599,1.1490856070573323,1.0,False
